homeTeam,homeFirstQuater,homeSecondQuater,homeThirdQuater,homeFourthQuater,homeOTQuater,homeTotalScore,awayTeam,awayFirstQuater,awaySecondQuater,awayThirdQuater,awayFourthQuater,awayOTQuater,awayTotalScore,date,preseason,postseason
Dolphins,3,10,0,10,0,23,Panthers,3,3,0,0,0,6,8:2001:False:False,False,False
Giants,0,7,7,10,3,27,Cowboys,10,14,0,0,0,24,8:2001:False:False,False,False
Steelers,3,7,0,0,0,10,Ravens,0,7,0,6,0,13,8:2001:False:False,False,False
Titans,7,0,7,14,0,28,Jaguars,0,17,0,7,0,24,8:2001:False:False,False,False
Packers,7,0,7,7,0,21,Buccaneers,0,10,7,3,0,20,8:2001:False:False,False,False
Falcons,7,0,0,3,0,10,Patriots,0,17,7,0,0,24,8:2001:False:False,False,False
Bills,0,7,0,7,0,14,Colts,0,17,7,6,0,30,8:2001:False:False,False,False
Cardinals,0,7,0,0,0,7,Eagles,7,14,0,0,0,21,8:2001:False:False,False,False
49ers,0,7,7,7,0,21,Lions,7,3,3,0,0,13,8:2001:False:False,False,False
Chargers,0,0,10,10,0,20,Chiefs,9,10,0,6,0,25,8:2001:False:False,False,False
Bears,0,7,0,14,6,27,Browns,7,0,14,0,0,21,8:2001:False:False,False,False
Redskins,10,10,7,0,0,27,Seahawks,7,0,7,0,0,14,8:2001:False:False,False,False
Saints,0,0,9,0,0,9,Jets,6,7,0,3,0,16,8:2001:False:False,False,False
Raiders,7,14,7,10,0,38,Broncos,3,3,6,16,0,28,8:2001:False:False,False,False
Jaguars,7,0,21,2,0,30,Bengals,0,13,0,0,0,13,9:2001:False:False,False,False
Falcons,7,0,3,10,0,20,Cowboys,3,10,0,0,0,13,9:2001:False:False,False,False
Bears,6,3,3,0,0,12,Packers,0,10,7,3,0,20,9:2001:False:False,False,False
Browns,9,0,3,0,0,12,Steelers,3,3,3,3,3,15,9:2001:False:False,False,False
Colts,3,7,14,0,0,24,Dolphins,7,10,0,10,0,27,9:2001:False:False,False,False
Lions,0,0,7,10,0,17,Buccaneers,0,10,7,3,0,20,9:2001:False:False,False,False
Jets,0,14,13,0,0,27,Chiefs,0,0,0,7,0,7,9:2001:False:False,False,False
Patriots,7,0,7,7,0,21,Bills,0,3,0,8,0,11,9:2001:False:False,False,False
Rams,21,10,14,3,0,48,Panthers,0,7,7,0,0,14,9:2001:False:False,False,False
Broncos,3,17,6,0,0,26,Chargers,0,0,3,13,0,16,9:2001:False:False,False,False
Cardinals,0,7,3,0,0,10,Giants,7,7,0,3,0,17,9:2001:False:False,False,False
49ers,7,14,0,7,0,28,Saints,3,11,10,3,0,27,9:2001:False:False,False,False
Eagles,7,24,7,10,0,48,Vikings,0,10,0,7,0,17,9:2001:False:False,False,False
Seahawks,6,7,14,7,0,34,Raiders,3,7,10,7,0,27,9:2001:False:False,False,False
Titans,0,0,10,0,0,10,Ravens,0,0,10,6,0,16,9:2001:False:False,False,False
Bengals,7,0,0,0,0,7,Titans,10,0,7,3,0,20,10:2001:False:False,False,False
Ravens,0,7,10,0,0,17,Browns,3,17,0,7,0,27,10:2001:False:False,False,False
Packers,3,7,3,7,0,20,Falcons,6,10,0,7,0,23,10:2001:False:False,False,False
Bills,0,10,3,7,0,20,Seahawks,3,7,7,6,0,23,10:2001:False:False,False,False
Dolphins,0,0,0,0,0,0,Jets,7,7,7,3,0,24,10:2001:False:False,False,False
Cowboys,0,0,0,3,0,3,Eagles,0,20,6,10,0,36,10:2001:False:False,False,False
Panthers,7,3,3,9,0,22,49ers,0,7,7,8,3,25,10:2001:False:False,False,False
Saints,0,17,7,10,0,34,Colts,14,3,0,3,0,20,10:2001:False:False,False,False
Raiders,14,0,3,17,0,34,Chargers,7,0,10,7,0,24,10:2001:False:False,False,False
Steelers,3,3,7,7,0,20,Jaguars,0,0,7,0,0,7,10:2001:False:False,False,False
Broncos,0,10,0,0,0,10,Redskins,0,3,0,14,0,17,10:2001:False:False,False,False
Cardinals,7,7,7,24,0,45,Lions,0,14,17,7,0,38,10:2001:False:False,False,False
Buccaneers,3,6,0,15,0,24,Bears,0,7,17,3,0,27,10:2001:False:False,False,False
Patriots,7,3,0,7,0,17,Rams,7,7,3,7,0,24,10:2001:False:False,False,False
Vikings,7,7,0,14,0,28,Giants,10,3,3,0,0,16,10:2001:False:False,False,False
Lions,3,10,0,14,0,27,Packers,7,10,7,5,0,29,11:2001:False:False,False,False
Cowboys,3,0,0,21,0,24,Broncos,3,14,6,3,0,26,11:2001:False:False,False,False
Browns,3,9,0,6,0,18,Bengals,0,0,0,0,0,0,11:2001:False:False,False,False
Bills,7,7,7,6,0,27,Dolphins,7,3,0,24,0,34,11:2001:False:False,False,False
Panthers,0,0,0,7,0,7,Falcons,3,7,0,0,0,10,11:2001:False:False,False,False
Jaguars,0,0,7,14,0,21,Ravens,3,7,7,7,0,24,11:2001:False:False,False,False
Eagles,0,0,3,0,0,3,Redskins,0,10,0,3,0,13,11:2001:False:False,False,False
Chiefs,3,7,0,9,0,19,Seahawks,0,7,0,0,0,7,11:2001:False:False,False,False
Colts,7,7,7,0,0,21,49ers,3,17,7,13,0,40,11:2001:False:False,False,False
Titans,7,7,3,7,0,24,Steelers,3,7,14,10,0,34,11:2001:False:False,False,False
Chargers,3,0,0,14,0,17,Cardinals,0,7,3,10,0,20,11:2001:False:False,False,False
Patriots,7,13,0,14,0,34,Saints,0,0,10,7,0,17,11:2001:False:False,False,False
Giants,3,0,7,0,0,10,Raiders,7,14,0,7,0,28,11:2001:False:False,False,False
Vikings,0,0,3,3,0,6,Bears,0,10,0,3,0,13,11:2001:False:False,False,False
Rams,3,6,8,0,0,17,Buccaneers,0,10,7,7,0,24,11:2001:False:False,False,False
Chiefs,0,3,7,0,0,10,Eagles,3,10,7,3,0,23,12:2001:False:False,False,False
Saints,0,10,3,14,0,27,Panthers,7,0,3,13,0,23,12:2001:False:False,False,False
Browns,0,7,0,8,0,15,Titans,14,3,14,0,0,31,12:2001:False:False,False,False
Bengals,3,0,0,10,0,13,Buccaneers,0,7,3,3,3,16,12:2001:False:False,False,False
Dolphins,0,0,0,21,0,21,Broncos,0,3,7,0,0,10,12:2001:False:False,False,False
Bears,0,3,0,10,0,13,Lions,7,0,3,0,0,10,12:2001:False:False,False,False
Ravens,3,13,10,13,0,39,Colts,3,7,17,0,0,27,12:2001:False:False,False,False
Steelers,0,7,14,0,0,21,Vikings,3,0,0,13,0,16,12:2001:False:False,False,False
Jets,10,3,3,0,0,16,Patriots,0,0,14,3,0,17,12:2001:False:False,False,False
Seahawks,7,0,3,0,3,13,Chargers,0,3,7,0,0,10,12:2001:False:False,False,False
Falcons,3,3,0,0,0,6,Rams,14,0,14,7,0,35,12:2001:False:False,False,False
Redskins,0,0,7,7,0,14,Cowboys,7,0,0,13,0,20,12:2001:False:False,False,False
Raiders,7,0,7,17,0,31,Cardinals,7,13,0,11,3,34,12:2001:False:False,False,False
49ers,0,14,7,14,0,35,Bills,0,0,0,0,0,0,12:2001:False:False,False,False
Jaguars,3,10,8,0,0,21,Packers,0,7,14,7,0,28,12:2001:False:False,False,False
Vikings,0,14,14,14,0,42,Titans,10,0,0,14,0,24,13:2001:False:False,False,False
Eagles,14,7,0,3,0,24,Chargers,7,7,0,0,0,14,13:2001:False:False,False,False
Rams,14,7,3,3,0,27,49ers,0,7,0,7,0,14,13:2001:False:False,False,False
Cowboys,3,3,7,7,0,20,Giants,6,7,0,0,0,13,13:2001:False:False,False,False
Falcons,7,3,0,0,0,10,Saints,14,0,0,14,0,28,13:2001:False:False,False,False
Bengals,0,7,3,0,0,10,Jaguars,7,0,0,7,0,14,13:2001:False:False,False,False
Bills,3,10,6,6,0,25,Panthers,3,21,0,0,0,24,13:2001:False:False,False,False
Packers,7,0,7,3,0,17,Bears,0,0,7,0,0,7,13:2001:False:False,False,False
Patriots,3,17,0,7,0,27,Browns,10,0,3,3,0,16,13:2001:False:False,False,False
Buccaneers,0,7,0,8,0,15,Lions,0,3,6,3,0,12,13:2001:False:False,False,False
Cardinals,0,3,0,7,0,10,Redskins,0,10,0,10,0,20,13:2001:False:False,False,False
Raiders,7,14,7,0,0,28,Chiefs,10,7,3,6,0,26,13:2001:False:False,False,False
Steelers,3,9,0,6,0,18,Jets,0,7,0,0,0,7,13:2001:False:False,False,False
Broncos,7,3,10,0,0,20,Seahawks,0,7,0,0,0,7,13:2001:False:False,False,False
Dolphins,7,13,0,21,0,41,Colts,0,3,3,0,0,6,13:2001:False:False,False,False
Giants,7,0,0,10,0,17,Cardinals,3,3,0,7,0,13,14:2001:False:False,False,False
Chargers,0,3,0,3,0,6,Raiders,3,0,7,3,0,13,14:2001:False:False,False,False
Colts,7,21,0,13,0,41,Falcons,0,14,3,10,0,27,14:2001:False:False,False,False
Jets,0,3,0,12,0,15,Bengals,7,0,7,0,0,14,14:2001:False:False,False,False
Bears,3,10,7,7,0,27,Buccaneers,0,3,0,0,0,3,14:2001:False:False,False,False
Chiefs,10,3,7,3,3,26,Broncos,0,10,7,6,0,23,14:2001:False:False,False,False
Bills,0,0,3,6,0,9,Patriots,3,3,0,3,3,12,14:2001:False:False,False,False
Lions,14,6,0,7,0,27,Vikings,7,0,17,0,0,24,14:2001:False:False,False,False
Browns,0,0,7,3,0,10,Jaguars,9,0,0,6,0,15,14:2001:False:False,False,False
Redskins,3,3,0,0,0,6,Eagles,0,10,7,3,0,20,14:2001:False:False,False,False
49ers,14,0,7,0,0,21,Dolphins,0,0,0,0,0,0,14:2001:False:False,False,False
Titans,2,13,3,8,0,26,Packers,10,3,0,7,0,20,14:2001:False:False,False,False
Seahawks,10,0,2,17,0,29,Cowboys,0,3,0,0,0,3,14:2001:False:False,False,False
Ravens,0,7,0,14,0,21,Steelers,3,10,0,13,0,26,14:2001:False:False,False,False
Saints,7,7,7,0,0,21,Rams,7,14,7,6,0,34,14:2001:False:False,False,False
Patriots,0,20,0,0,0,20,Dolphins,0,3,0,10,0,13,15:2001:False:False,False,False
49ers,0,3,3,7,0,13,Eagles,0,3,0,0,0,3,15:2001:False:False,False,False
Raiders,0,0,0,10,0,10,Titans,0,0,10,3,0,13,15:2001:False:False,False,False
Giants,7,10,0,10,0,27,Seahawks,7,10,7,0,0,24,15:2001:False:False,False,False
Chiefs,7,0,3,10,0,20,Chargers,7,0,7,3,0,17,15:2001:False:False,False,False
Panthers,7,6,10,9,0,32,Rams,7,14,10,7,0,38,15:2001:False:False,False,False
Falcons,10,3,10,10,0,33,Bills,7,7,6,10,0,30,15:2001:False:False,False,False
Steelers,14,13,10,10,0,47,Lions,7,7,0,0,0,14,15:2001:False:False,False,False
Ravens,3,10,0,3,0,16,Bengals,0,0,0,0,0,0,15:2001:False:False,False,False
Buccaneers,17,13,3,15,0,48,Saints,0,0,7,14,0,21,15:2001:False:False,False,False
Vikings,0,3,0,0,0,3,Jaguars,10,6,7,10,0,33,15:2001:False:False,False,False
Redskins,7,3,3,2,0,15,Bears,3,7,0,10,0,20,15:2001:False:False,False,False
Cardinals,0,17,0,0,0,17,Cowboys,3,7,0,0,0,10,15:2001:False:False,False,False
Packers,13,10,0,7,0,30,Browns,0,7,0,0,0,7,15:2001:False:False,False,False
Colts,0,10,7,11,0,28,Jets,3,10,6,10,0,29,15:2001:False:False,False,False
Buccaneers,3,13,0,6,0,22,Ravens,0,7,0,3,0,10,16:2001:False:False,False,False
Jaguars,7,10,0,9,0,26,Chiefs,7,10,10,3,0,30,16:2001:False:False,False,False
Rams,7,28,0,7,0,42,Colts,7,7,3,0,0,17,16:2001:False:False,False,False
Packers,0,7,0,17,0,24,Vikings,0,3,3,7,0,13,16:2001:False:False,False,False
Titans,14,10,7,7,0,38,Browns,14,10,0,17,0,41,16:2001:False:False,False,False
Lions,0,0,0,0,0,0,Bears,14,3,0,7,0,24,16:2001:False:False,False,False
Jets,3,3,0,3,0,9,Bills,0,7,7,0,0,14,16:2001:False:False,False,False
Dolphins,7,14,0,0,0,21,Falcons,7,0,0,7,0,14,16:2001:False:False,False,False
Bengals,0,10,0,13,3,26,Steelers,14,3,6,0,0,23,16:2001:False:False,False,False
Cowboys,0,10,14,3,0,27,49ers,0,14,0,7,0,21,16:2001:False:False,False,False
Panthers,0,7,0,0,0,7,Cardinals,7,20,3,0,0,30,16:2001:False:False,False,False
Eagles,7,0,0,17,0,24,Giants,0,0,10,11,0,21,16:2001:False:False,False,False
Chargers,10,3,3,6,0,22,Seahawks,0,14,8,3,0,25,16:2001:False:False,False,False
Broncos,3,10,0,10,0,23,Raiders,3,7,7,0,0,17,16:2001:False:False,False,False
